Pos;Solution;Nombre_noeuds;Temps
OWOYXOROGGOGRXBYRYYWRYXYROBWBGGXYRWWWGYRXBOROBGWWXBBGB;;;
OWOYXOROGGOGRXBOBYYWRYXYROBWBGGXYRWWWGYRXGOWBBGWRXBYRB;;;
GOORXOROGYGGGXBOBYYWRYXYROBWBGGXYRWWWYORXWOWBBGWRXBYRB;;;
GOORXWRYRYGGGXBOBYYGWYXBROBGOGOXYRWWWYORXWOWBBGWRXBYRB;;;
YGOGXWRYROWGYXBOBYYGWYXBROBGOGOXYRWWWRGRXOOWBBGWRXBYRB;;;
YGOGXWRYROWGYXBOBYYGWYXBROBGOGOXBRRBWRGWXOWYBBGWRXWYRO;;;
YGOGXWRYROWGYXBBOYYGWYXBROBGOGOXBRRBWRGWXRWRYBGWYXWOBO;;;
OWOYXWRYRGRGRXBBOYYGWYXBROBGOGOXBRRBWGYWXGWRYBGWYXWOBO;;;
OWOYXWRYRGRGRXBBOYYGWYXBROBGOGOXRRWWWGYBXGOWYBGWYXBORB;;;
OOGYXRRYRGRGRXBBOYYGWYXBROBGBWOXGRWWOWYWXGOWYBGWYXBORB;;;
OOGYXRRYRGRGYXBORYYGWYXBROBGBWOXGRWWOWYWXOORBBGWWXBYGB;;;
OOGGXRYYRGYRYXYORYGBWRXBROBGBWOXGRWWOWYWXOORBBGWWXBYGB;;;
OOGGXRYYRGYRYXWOGBGBWRXBYYBGBWOXGRWWOWYWXOORBRRWOXBYGB;;;
OBWGXGYYRGYRYXWOGBGBWRXBYYBGWOOXWRWWGRYOXOORBRRWOXBYGB;;;
GYWYXGYYRYORRXWOGBGBWRXBYYBGWOOXWRWWGGOOXBORBRRWOXBYGB;;;
GWOYXWYYRYORRXWOGBGBWRXBYYBGOGOXGRWWWGOYXBORBRRWOXBYGB;;;
OBOGXWYYRGWRYXWOGBGBWRXBYYBGOGOXGRWWWRYYXOORBRRWOXBYGB;;;
OBOWXWRWRGRGYXBOGBYGWYXBYYBGOGOXGRWWWRYYXOORBRRWOXBYGB;;;
OBOWXWRWRGRGYXYOYYYGWRXBROBGOGOXGRWWWRYYXOORBBGWBXBYGB;;;
OBOYXWGRRGRYYXGOYYRWWWXBROBGOGOXGRWWWRYYXOORBBGWBXBYGB;;;
GROYXWGRRYOYRXGOYYRWWWXBROBGOGOXGRWWWYOYXBORBBGWBXBYGB;;;
GROYXWGRRYOYRXGBBYRWWWXBROBGOGOXGRWWWYOYXGOBYBGWRXBOYB;;;
GROYXWGBWYOYRXGBBYROGWXOROBRRGWXGRWWWYOYXGOBYBGWRXBOYB;;;
GROGXWYOWYWRRXOBBYGYGBXOROBRRGWXGRWWWYOYXGOBYBGWRXBOYB;;;
GROGXYYOGYWRRXOBBYGWRBXRROBWOGWXGRWWWYOYXGOBYBGWRXBOYB;;;
GROGXYYOGYWRRXOOYYGWRBXRROBWOGWXGRWWWYOYXBORBBGWBXBYGB;;;
GROGXYYOGYWRBXOYGYGWRBXRROBWOGWXGRWWWYOYXYOROBGWRXBBBB;;;
GROOXYRWGYBGBXWYGYYGROXRROBWOGWXGRWWWYOYXYOROBGWRXBBBB;;;
GROOXYRWGYBGBXWYGYYGROXWRWRWOGBXGWGWWYOYXYOROBRBRXOBBB;;;
GROOXYRWGYBGBXWYGYYGROXWRWRWOGBXOWBBWYOGXYWGOBRBRXRBYO;;;
GGWOXYRWGYBGBXWYGYYGROXWRWRWROBXYWBBGOOOXYWGOBRBRXRBYO;;;
GGWOXYRWGYBGBXWYGYYGROXWRWRWROBXRWYOGOOBXYBYOBRBRXGBOW;;;
GGWOXYRWGYBGYXWOYYYGROXWRWRWROBXRWYOGOOBXOBRBBRBBXGYGW;;;
GGWOXYRWGYBGYXWOYYYGROXRRGBWROWXRRWOGOOBXOBRBBYWBXBYGW;;;
GGWOXYRWGYBGYXBOYBYGRYXRYWBWROWXRRWOGOOBXOBRBROWGXBYGW;;;
GGWOXYRWGYBGYXBOYBYGRYXRYWBWROWXBRGWGOOWXOORBROWGXRYBB;;;
GGWGXYYYGYWRYXOOYBGBRBXRYWBWROWXBRGWGOOWXOORBROWGXRYBB;;;
GGWGXYYYGYWRYXWOBYGBROXRRGBWROWXBRGWGOOWXOORBBYWOXRYBB;;;
YWWYXYYYGOOROXWOBYGBROXRRGBWROWXBRGWGGGWXGORBBYWOXRYBB;;;
YWWWXYROGOOGOXBOBYYYRYXRRGBWROWXBRGWGGGWXGORBBYWOXRYBB;;;
YWWWXYROGOOGOXBYBYYYRYXRRGBWROWXBRGWGGGWXBOOOBYWRXRBGB;;;
YWWWXYROGOOGOXBYBYYYRYXGRWRWRORXBWYWGGGWXBOOOBRBRXGBGB;;;
OOWOXYROGGBGGXBYBYYYRYXGRWRWRORXBWYWGWYWXWOOOBRBRXGBGB;;;
OOWYXYYYGGORGXOYBYGBRBXGRWRWRORXBWYWGWYWXWOOOBRBRXGBGB;;;
OOWYXYYYGGORGXOYBYGBRBXGRWRWRORXOWWOGWYGXWBGOBRBRXBBYW;;;
OOWYXYYYGGORGXOYBYGBRBXWRRWWROBXOBROGWYGXWBGOBGRRXWBYW;;;
OOWYXYYYGGORRXOBYYGBRBXWRRWWROBXOBROGWYGXBBGYBGRGXWOWW;;;
OOWYXYYYGGORRXOBYYGBRBXWRRWWROBXWBWWGWYRXBOOYBGRGXGOGB;;;
OOWYXYYYGGORRXOBYYGBRBXWRBBWROGXWRGWGWYRXBOOYBWWGXROGB;;;
OOWYXBYWRGORRXOBYYGGWBXRRBBGYOYXWRGWGWYRXBOOYBWWGXROGB;;;
OOWOXBRORGBGRXGBYYYYWWXRRBBGYOYXWRGWGWYRXBOOYBWWGXROGB;;;
OOWOXBRORGBGRXGBYYYYWWXRRBBGYOYXRRGBGWYGXBWWYBWWGXOORO;;;
OGGOXWRORGBGRXGBYYYYWWXRRBBGOWYXBRGBORYYXBWWYBWWGXOORO;;;
OGGOXYROGGBGRXGBYYYWRWXORBBWRWYXBRGBORYYXBWWYBWWGXOORO;;;
GBGRXYROGYBGRXGBYYYWRWXORBBWRWYXBRGBOOOYXGWWYBWWGXOORO;;;
GYORXOROGYBGRXGBYYYWRWXORBBWBGYXYRGBWBORXGWWYBWWGXOORO;;;
GYORXOROGYBGRXGBYYYWRWXGRYRWBGOXYWWBWBORXGWWYBOBGXBORO;;;
GRWRXBROGYBGRXGBYYYWRWXGRYRWYOOXOWWBGYOBXGWWYBOBGXBORO;;;
GRWRXBROGYBGRXGBYYYWRWXWROWWYOBXOBOBGYOBXGWWYBGRGXYORO;;;
GRWRXBROGYBGRXGBYYYWRWXGRYRWYOOXOWWBGYOBXGWWYBOBGXBORO;;;
GRWWXBYWGYORRXRBYYGGRBXGRYRWYOOXOWWBGYOBXGWWYBOBGXBORO;;;
GRWWXBYWGYORRXRBYYGGRBXWROWWYOBXOBOBGYOBXGWWYBGRGXYORO;;;
GRWWXBYWGYORRXGBGBGGRYXWYRWWYOBXOBOBGYOBXGWWYRBROXYORO;;;
GRWWXBYWGYORRXGBGBGGRYXBYYRWYORXOWWBGYOBXGWWYROBOXBORO;;;
GRWWXBYWGYOROXGORBGGRYXBYYRWYORXOWWBGYOBXGWRBROBWXBYGO;;;
GRWWXBYWGYOROXWOORGGRRXBBGRWYORXOWWBGYOBXGWRBYYBYXBYGO;;;
GRWWXBYWGYOROXYOYYGGROXBRWRWYORXOWWBGYOBXGWRBBRBGXBYGO;;;
GBGWXYYWGYOROXYOYYGGROXBRWRWRWRXBWWBOOOYXGWRBBRBGXBYGO;;;
GBGWXGYBRYOROXYOYYGRWOXRRWRGWWYXBWWBOOOYXGWRBBRBGXBYGO;;;
YOGOXGYBROGROXYOYYGRWOXRRWRGWWYXBWWBOWGYXBWRBBRBGXBYGO;;;
GBGWXGYBRYOROXYOYYGRWOXRRWRGWWYXBWWBOOOYXGWRBBRBGXBYGO;;;
YOGOXGYBROGROXYOYYGRWOXRRWRGWWYXBWWBOWGYXBWRBBRBGXBYGO;;;
YOGOXYYWGOGROXYOYYGGROXBRWRWRWRXBWWBOWGYXBWRBBRBGXBYGO;;;
OGGOXYYWGGBRWXYOYYGGROXBRWRWRWRXBWWBOOYYXOWRBBRBGXBYGO;;;
OGGOXYYWGGBRWXYOYYGGROXRRBBWRWWXBRBBOOYYXOWRBBWWGXRYGO;;;
OGGOXYYWGGBRGXYYGYGGROXRRBBWRWWXBRBBOOYYXYWWOBWWRXRBOO;;;
OGGOXYYWGGBRGXRYWBGGRGXRYYBWRWWXBRBBOOYYXYWWOROWBXRBOO;;;
OGGOXGYRRGBRGXRYWBGWWGXRYYBGWWYXBRBBOOYYXYWWOROWBXRBOO;;;
OGGOXGYRRGBRGXYYGYGWWOXRRBBGWWYXBRBBOOYYXYWWOBWWRXRBOO;;;
OGGOXGYRRGBRGXBYORGWWWXRBRBGWWYXBRBBOOYYXYWWOYGWYXRBOO;;;
OGGBXGRBRGWGGXWYORYOWRXRBRBGWWYXBRBBOOYYXYWWOYGWYXRBOO;;;
OYOBXORBRGWGGXWYORYOWRXRBRBGGGYXGRBBWBYWXYWWOYGWYXRBOO;;;
OYOBXORBRGWGWXWOYRYOWRXRBRBGGGYXGRBBWBYWXOWYBYGWGXRYOO;;;
OYOBXORBRGWGWXWOYRYOWRXGBRWGGGRXGBRBWBYWXOWYBYBRGXYYOO;;;
GWOWXORBRYOGBXWOYRYOWRXGBRWGGGRXGBRBWBOWXYWYBYBRGXYYOO;;;
GWOWXORBRYOGBXWOYRYOWRXBBYRGGGRXGWGBWBOWXYWYBYRBGXRYOO;;;
GWOWXOGORYRYBXOOYRRWWBXBBYRGGGRXGWGBWBOWXYWYBYRBGXRYOO;;;
GWWWXBGORYRYBXOOYRRWWBXBBYRGWORXOWGBGGOGXYWYBYRBGXRYOO;;;
GWWWXBGORYRYBXGORYRWWYXBRORGWORXOWGBGGOGXYWYBBBBYXRYOO;;;
GWWWXBGORYRYYXGYOYRWWYXBRORGWORXOWGBGGOGXRWBOBBBYXRBYO;;;
GWWWXRGWGYRYYXGYOYRBRYXORORWBOWXOWGBGGOGXRWBOBBBYXRBYO;;;
GWWWXRGWGYRYYXGYOYRBRYXORORWBOWXBWGWGGOYXROROBBBYXOBGB;;;
GWWWXWGBWYRYYXGYOYRRGYXWRORROOBXBWGWGGOYXROROBBBYXOBGB;;;
GWWWXRGWGYRYYXGYOYRBRYXORORWBOWXBWGWGGOYXROROBBBYXOBGB;;;
GWWWXRGWGYRYYXGYOYRBRYXBROBWBOOXBROWGGOYXROROBGWYXWBGB;;;
GBOWXBGWGYRYYXGYOYRBRYXBROBWYGOXGROWWROWXROROBGWYXWBGB;;;
YROYXBGWGORYRXGYOYRBRYXBROBWYGOXGROWWWGWXBOROBGWYXWBGB;;;
YROYXBGWGORYRXGYOYRBRYXORORWYGWXGWGWWWGWXBOROBBBYXOBGB;;;
YROGXBYRGOYRRXBYOYGYRWXORORWYGWXGWGWWWGWXBOROBBBYXOBGB;;;
YROBXBRYGOWGRXYYOYYGRRXORORWYGWXGWGWWWGWXBOROBBBYXOBGB;;;
GBOWXBRYGYRGBXYYOYYGRRXORORWYGWXGWGWWROWXWOROBBBYXOBGB;;;
GBOWXBRYGYRGRXYOWYYGRRXORORWYGWXGWGWWROWXGOYBBBBBXOYOB;;;
GWWWXRRYGYRGRXYOWYYGRRXORORWBOWXBWGWGGOYXGOYBBBBBXOYOB;;;
YRWRXRRYGOGGGXYOWYYGRRXORORWBOWXBWGWGWGYXWOYBBBBBXOYOB;;;
GWWWXRRYGYRGRXYOWYYGRRXORORWBOWXBWGWGGOYXGOYBBBBBXOYOB;;;
GBOWXBRYGYRGRXYOWYYGRRXORORWYGWXGWGWWROWXGOYBBBBBXOYOB;;;
GBOWXBRYGYRGRXBOBBYGRWXOYYRWYGWXGWGWWROWXGOYBRRBOXOYOB;;;
OGORXBRYGGBGWXBOBBYGRWXOYYRWYGWXGWGWWRYWXROYBRRBOXOYOB;;;
YRORXBRYGOGGRXBOBBYGRWXOYYRWYGWXGWGWWWGWXBOYBRRBOXOYOB;;;
YYGRXGRYGOGGRXBOBBYGRWXOYYRWWWWXWWGWOBGRXBOYBRRBOXOYOB;;;
YYGRXGRYGOGGRXOORRYGRBXOBBRWWWWXWWGWOBGRXBOYBYWBYXOYOB;;;
YYGRXGROROGGRXOORRYWWBXWBBRGYWGXWWGWOBGRXBOYBYWBYXOYOB;;;
YYGRXGROROGGYXOYORYWWBXWBBRGYWGXWWGWOBGRXROROYWBYXOBBB;;;
YYGRXGROROGGRXOORRYWWBXWBBRGYWGXWWGWOBGRXBOYBYWBYXOYOB;;;
YYGRXGROROGGYXOBBRYWWBXWBBRGYWGXWWGWOBGRXOOYYYWBRXOORB;;;
YYGOXGGGROBYYXWBBRRRWOXWBBRGYWGXWWGWOBGRXOOYYYWBRXOORB;;;
OBGYXGGGRGOYBXWBBRRRWOXWBBRGYWGXWWGWOOYRXYOYYYWBRXOORB;;;
OBGRXGRORGGGBXYBBRYWWOXWBBRGYWGXWWGWOOYRXYOYYYWBRXOORB;;;
ORORXORORGGGBXYBBRYWWOXWBBRGBGGXGWGWWWYYXYOYYYWBRXOORB;;;
ORORXWRWWGGGBXYBBRYGGOXBBBRROGOXGWGWWWYYXYOYYYWBRXOORB;;;
ORORXWRWWGGGYXYYYRYGGOXBBBRROGOXGWGWWWYYXROROYWBBXOBBB;;;
ORORXWRWWGGGYXBYOBYGGWXBYBRROGOXGWGWWWYYXRORORYBYXOBBB;;;
ORORXWRWWGGGYXBYOBYGGWXBYBRROGOXRWYOWWYBXRBOORYBYXGBGW;;;
YROWXWRWWORGRXBYOBYGGWXBYBRROGOXRWYOWYGBXGBOORYBYXGBGW;;;
YROWXWRWWORGRXYYYRYGGOXBBBRROGOXRWYOWYGBXGBOOYWBBXGBGW;;;
YBWWXYRWWORGRXYYYRYGGOXBBBRRROOXWWYOGRGOXGBOOYWBBXGBGW;;;
YBWWXGRBGORGRXYYYRYOROXRBBRWWOYXWWYOGRGOXGBOOYWBBXGBGW;;;
YBWWXGRBGORGRXBYWYYORYXRRYRWWOYXWWYOGRGOXGBOOBOBBXGBGW;;;
YBWWXGRBGORGOXBOGYYORYXRRYRWWOYXWWYOGRGOXGBBBBOBRXGYWW;;;
YBWWXGRBGORGOXBOGYYORYXORGBWWOYXWRROGRGOXGBBBBYWRXYYWW;;;
YWOWXWRBGORGOXBOGYYORYXORGBWOGYXRRROWGGBXGBBBBYWRXYYWW;;;
YBWWXGRBGORGOXBOGYYORYXORGBWWOYXWRROGRGOXGBBBBYWRXYYWW;;;
YWOWXWRBGORGOXBOGYYORYXORGBWOGYXRRROWGGBXGBBBBYWRXYYWW;;;
YWOWXWRBGORGOXROYBYORGXOYBBWOGYXRRROWGGBXGBBBRYWGXYYWW;;;
YWOWXORORORGOXROYBYYWGXOYBBGBGWXRRROWGGBXGBBBRYWGXYYWW;;;
YWOWXORORORGOXROYBYYWGXYYYWGBGBXRBOOWGGBXGBBBRRRGXWYWW;;;
YWOWXORORORGOXROYBYYWGXOYBBGBGWXRRROWGGBXGBBBRYWGXYYWW;;;
OROOXORORGGGGXROYBYYWGXOYBBGBGWXRRROWWYBXWBBBRYWGXYYWW;;;
OBGOXRRORGGGGXROYBYYWGXOYBBGBWWXWRROOOYRXWBBBRYWGXYYWW;;;
OROOXORORGGGGXROYBYYWGXOYBBGBGWXRRROWWYBXWBBBRYWGXYYWW;;;
OROOXORORGGGGXRYWBYYWGXOYBBGBGWXRRROWWYBXYBGORYWBXYBWW;;;
GGOGXORORYYGWXRYWBYYWGXOYBBGBGWXRRROWOOBXRBGORYWBXYBWW;;;
YYOWXORORORGOXRYWBYYWGXOYBBGBGWXRRROWGGBXGBGORYWBXYBWW;;;
YYOWXWRBGORGOXRYWBYORGXOYBBWOGYXRRROWGGBXGBGORYWBXYBWW;;;
YYOWXORORORGOXRYWBYYWGXOYBBGBGWXRRROWGGBXGBGORYWBXYBWW;;;
YYOWXORORORGGXROGBYYWGXOYBBGBGWXRRROWGGBXWBBBRYWOXYYWW;;;
YYOWXWRBGORGGXROGBYORGXOYBBWOGYXRRROWGGBXWBBBRYWOXYYWW;;;
YYOWXWRBGORGBXRBWBYORGXOYBBWOGYXRRROWGGBXWBOYRYWGXYOGW;;;
YYOWXWRBGORGBXRBWBYORGXYYYWWOGBXRBOOWGGBXWBOYRRRGXYOGW;;;
YYOWXWRBGORGBXGBRRYORWXYBRWWOGBXRBOOWGGBXWBOYYGRYXYOGW;;;
YYOWXWRBGORGOXGYWRYORWXYBRWWOGBXRBOOWGGBXGBYOYGRBXYBRW;;;
OROOXWRBGGGGGXGYWRYORWXYBRWWOGBXRBOOWWYBXYBYOYGRBXYBRW;;;
OROOXWRBGGGGGXGYWRYORWXYBRWWOGBXYBRWWWYOXYOROYGRBXYBBB;;;
OROOXBROWGGGGXGYWRYWGWXBBRWRYGOXYBRWWWYOXYOROYGRBXYBBB;;;
OROOXORYRGGGGXGYWRYBWWXOBRWGBGWXYBRWWWYOXYOROYGRBXYBBB;;;
OBGOXYRYRGGGGXGYWRYBWWXOBRWGOWWXWBRWOOYRXYOROYGRBXYBBB;;;
OBGOXYRYRGGGGXGYWRYBWWXRBWBGOWYXWRGWOOYRXYOROYOWBXRBBB;;;
OBGOXYRYRGGGRXGOYRYBWWXRBWBGOWYXWRGWOOYRXBOBBYOWGXRYWB;;;
OBGOXBRRWGGGRXGOYRYYGWXOBWBRYWYXWRGWOOYRXBOBBYOWGXRYWB;;;
OBGOXBRRWGGGGXGYWRYYGWXOBWBRYWYXWRGWOOYRXYOROYOWBXRBBB;;;
OBGOXBRRWGGGRXGOYRYYGWXOBWBRYWYXWRGWOOYRXBOBBYOWGXRYWB;;;
OBGOXBRRWGGGRXGOYRYYGWXOBWBRYWYXRRWBOOYGXBWWBYOWGXBYRO;;;
OYWOXRRRWGGGRXGOYRYYGWXOBWBRGOYXORWBGBYBXBWWBYOWGXBYRO;;;
OYWOXRRRWGGGRXGOYRYYGWXOBWBRGOYXBRROGBYWXBBOBYOWGXWYBW;;;
GGWRXRRRWYBGBXGOYRYYGWXOBWBRGOYXBRROGOOWXYBOBYOWGXWYBW;;;
GWGRXORRWYBGBXGOYRYYGWXOBWBRGWYXRRROOBOGXYBOBYOWGXWYBW;;;
GWGRXYROGYBGBXGOYRYYRWXGBWBWRWOXRRROOBOGXYBOBYOWGXWYBW;;;
GWGRXORRWYBGBXGOYRYYGWXOBWBRGWYXRRROOBOGXYBOBYOWGXWYBW;;;
GGORXBRRWYBGBXGOYRYYGWXOBWBRWGYXORROWROGXYBOBYOWGXWYBW;;;
GGORXBRRWYBGBXGOYRYYGWXOBWBRWGYXORGBWROBXYWWBYOWGXOYRO;;;
GGORXBRRWYBGBXGOYRYYGWXOBWBRWGYXWRBWWRORXYOOBYOWGXOYGB;;;
GGOYXBYWWYRRBXROYRGGGBXOBWBRWGYXWRBWWRORXYOOBYOWGXOYGB;;;
GGOYXYYWRYRRBXROYRGBWBXWBWBGOGGXWRBWWRORXYOOBYOWGXOYGB;;;
GGOYXYYWRYRRGXRYGRGBWBXWBWBGOGGXWRBWWRORXYOBOYOWOXOBYB;;;
GGOYXYYWRYRROXRBYRGBWBXWBWBGOGGXWRBWWRORXGOGYYOWBXOOYB;;;
GOGYXWYWRYRROXRBYRGBWBXWBWBGRWGXRRBWOYOGXGOGYYOWBXOOYB;;;
GOGYXWYWRYRROXRBYRGBWBXWBWBGRWGXORYBOYOBXGWRYYOWBXGOGO;;;
GOGYXGYRGYRROXRBYRGWRBXWBWBWWWBXORYBOYOBXGWRYYOWBXGOGO;;;
GOGYXGYRGYRROXRBYRGWRBXOBGWWWWWXOBWBOYOBXGWRYYYRBXBOGO;;;
GOGRXGRRGYBGOXWBYRYYRRXOBGWWWWWXOBWBOYOBXGWRYYYRBXBOGO;;;
GOGRXGRRGYBGOXWBYRYYRRXOBGWWWWWXRBBWOYOGXGOBYYYRBXOOWB;;;
GOGYXGYRGYRROXRBYRGWRBXOBGWWWWWXRBBWOYOGXGOBYYYRBXOOWB;;;
GOGYXGYRGYRROXRBYRGWRBXOBGWWWWWXBBGOOYOWXGBOYYYRBXROBW;;;
GOGYXGYRGYRROXBBYYGWRYXORRWWWWWXBBGOOYOWXGBOYBBRGXROBW;;;
GOGYXGYRGYRROXBBYYGWRYXBRRRWWWRXBWOOOYOWXGBOYBGBGXWOBW;;;
GOGYXGYRGYRROXRBYRGWRGXBBGRWWWRXBWOOOYOWXGBOYYYBBXWOBW;;;
GWWYXBYRGYRROXRBYRGWRGXBBGRWWORXYWOOGGOOXGBOYYYBBXWOBW;;;
GWWYXBYRGYRROXRBYRGWRGXYBWBWWOGXYRBOGGOOXGBOYYOWBXROBW;;;
GWWYXBYRGYRROXRYGRGWRGXYBWBWWOGXYRBOGGOOXBBBOYOWOXRBYW;;;
GWWRXBRRGYGGOXWYGRYYRRXYBWBWWOGXYRBOGGOOXBBBOYOWOXRBYW;;;
GWWRXYRYRYGGOXWYGRYGWRXWBWBGROBXYRBOGGOOXBBBOYOWOXRBYW;;;
YGWOXYRYROBGGXWYGRYGWRXWBWBGROBXYRBOGRGOXWBBOYOWOXRBYW;;;
YGWOXYRYROBGGXOYOYYGWGXWRWBGROBXYRBOGRGOXWBBOBRWWXRBYW;;;
YGWGXYYGROYRGXOYOYGOWBXWRWBGROBXYRBOGRGOXWBBOBRWWXRBYW;;;
YGWOXYGBROGYGXGYOYROWYXWRWBGROBXYRBOGRGOXWBBOBRWWXRBYW;;;
YOGOXRGBROGYGXGYOYROWYXWRWBGGWBXYRBOOYGRXWBBOBRWWXRBYW;;;
YOGOXBGGGOGYGXGYOYRRRYXBRWBWWWOXYRBOOYGRXWBBOBRWWXRBYW;;;
YOGOXBGGGOGYGXGYOYRRRYXBRWBWWWOXBRRBOYGYXWWROBRWWXYBBO;;;
YOGOXBGGGOGYRXGOWYRRRYXBRWBWWWOXBRRBOYGYXBWWBBRWGXYYOO;;;
YOGGXBYGGOYRRXROWYGORGXBRWBWWWOXBRRBOYGYXBWWBBRWGXYYOO;;;
YOGRXBRYGOGGRXOOWYYGRGXBRWBWWWOXBRRBOYGYXBWWBBRWGXYYOO;;;
YOGRXBRYGOGGRXWOGRYGRRXBBGBWWWOXBRRBOYGYXBWWBYWWOXYYOO;;;
YOGRXBRYGOGGWXWBBRYGRRXBBGBWWWOXBRRBOYGYXOWOYYWWRXYOGO;;;
YOGRXBRYGOGGWXWBBRYGRRXBBGBWWWOXORYWOYGGXOOYYYWWRXBORB;;;
YOGRXORWWOGGWXWBBRYBGRXYBGBRBWGXORYWOYGGXOOYYYWWRXBORB;;;
YGORXYRWWOGGWXWBBRYBGRXYBGBROGGXORYWWOGBXOOYYYWWRXBORB;;;
YOGRXORWWOGGWXWBBRYBGRXYBGBRBWGXORYWOYGGXOOYYYWWRXBORB;;;
YOGWXOGGWORYWXBBBRRRGWXYBGBRBWGXORYWOYGGXOOYYYWWRXBORB;;;
YOGRXORWWOGGWXWBBRYBGRXYBGBRBWGXORYWOYGGXOOYYYWWRXBORB;;;
YOGRXORWWOGGWXRBWYYBGBXYRWBRBWGXORYWOYGGXOOYYBRWGXBORB;;;
YOGRXORWWOGGWXRBWYYBGBXYRWBRBWGXBRRBOYGYXOWOYBRWGXYOGO;;;
YOGRXBRYGOGGWXRBWYYGRBXBRWBWWWOXBRRBOYGYXOWOYBRWGXYOGO;;;
YWWRXBRYGOGGWXRBWYYGRBXBRWBWYOOXYRRBGBGOXOWOYBRWGXYOGO;;;
YWWRXBRYGOGGWXRBWYYGRBXRRORWYOYXYWRBGBGOXOWOYBBBGXWOGO;;;
YWWRXYRYWOGGWXRBWYYBGBXYRORRROGXYWRBGBGOXOWOYBBBGXWOGO;;;
YWWBXYYBWOYRWXRBWYGRGGXYRORRROGXYWRBGBGOXOWOYBBBGXWOGO;;;
YOGBXBYBWOYRWXRBWYGRGGXYRORRWWGXYWRBOYGRXOWOYBBBGXWOGO;;;
YROBXYYBWOYRWXRBWYGRGGXYRORROGGXBWRBWYGWXOWOYBBBGXWOGO;;;
YOGBXBYBWOYRWXRBWYGRGGXYRORRWWGXYWRBOYGRXOWOYBBBGXWOGO;;;
YOGRXBRYWOGGWXRBWYYBGBXYRORRWWGXYWRBOYGRXOWOYBBBGXWOGO;;;
YRORXYRYWOGGWXRBWYYBGBXYRORROGGXBWRBWYGWXOWOYBBBGXWOGO;;;
GOOYXYRYWYRGRXRBWYYBGBXYRORROGGXBWRBWWOWXGWOYBBBGXWOGO;;;
GOOYXYRYWYRGRXRBWYYBGBXYRORROGGXOWWWWWOGXGOWYBBBGXBORB;;;
GOOBXYYBWYYRRXYBWYGRGRXYRORROGGXOWWWWWOGXGOWYBBBGXBORB;;;
OGOWXYYBWGORBXYBWYGRGRXYRORROGGXOWWWWRYGXYOWYBBBGXBORB;;;
OOGWXOYBWGORBXYBWYGRGRXYRORRGWGXRWWWOYYGXYOWYBBBGXBORB;;;
OOGWXOYBWGORWXYYYYGRGRXYRORRGWGXRWWWOYYGXROGOBBBBXBBWB;;;
OOGWXOYBWGORBXYBWYGRGRXYRORRGWGXRWWWOYYGXYOWYBBBGXBORB;;;
OOGWXOYBWGORBXYBWYGRGRXWRGWRGWBXRBBWOYYGXYOWYBYRGXOORB;;;
OGOWXYYBWGORBXYBWYGRGRXWRGWROGBXOBBWWRYGXYOWYBYRGXOORB;;;
OGOWXYYBWGORBXYBWYGRGRXWRGWROGBXOBRBWRYBXYWOYBYRGXWOGO;;;
GOOBXYYBWYYRRXYBWYGRGRXWRGWROGBXOBRBWWOBXGWOYBYRGXWOGO;;;
GBWBXWYBWYYRRXYBWYGRGRXWRGWROOBXYBRBGOOOXGWOYBYRGXWOGO;;;
GBWRXWGRWYBYRXBBWYRYGYXWRGWROOBXYBRBGOOOXGWOYBYRGXWOGO;;;
GBWRXWGRWYBYOXBYGYRYGYXWRGWROOBXYBRBGOOOXGWGOBYRRXWBWO;;;
GBWBXWYBWYYROXYYGYGRGRXWRGWROOBXYBRBGOOOXGWGOBYRRXWBWO;;;
GBWBXWYBWYYROXYYGYGRGRXRRBBROOWXYRYBGOOOXGWGOBWWRXGBWO;;;
GOOBXYYBWYYROXYYGYGRGRXRRBBROGWXORYBWWOBXGWGOBWWRXGBWO;;;
GOOBXYYBWYYROXBYRRGRGWXRBRBROGWXORYBWWOBXGWGOYGWYXGBWO;;;
GBWBXWYBWYYROXBYRRGRGWXRBRBROOWXYRYBGOOOXGWGOYGWYXGBWO;;;
GBWBXWYBWYYROXBYRRGRGWXGBGWROORXYBRBGOOOXGWGOYYRYXWBWO;;;
YYWOXWYBWOGROXBYRRGRGWXGBGWROORXYBRBGBGOXBWGOYYRYXWBWO;;;
YYWRXWGWWOBYOXOYRRRBGGXGBGWROORXYBRBGBGOXBWGOYYRYXWBWO;;;
YYWRXWGWWOBYOXOYRRRBGGXGBGWROORXWBWOGBGRXBBYOYYRYXGBOW;;;
YYWRXWGWWOBYOXOYRRRBGGXWBRBROOGXWRYOGBGRXBBYOYGWYXGBOW;;;
YYWRXWGWWOBYOXRYGBRBGGXWYYBROOGXWRYOGBGRXBBYORRWOXGBOW;;;
YYWRXWGWWOBYOXYYGYRBGRXWROBROOGXWRYOGBGRXBBYOBGWRXGBOW;;;
YOORXWGWWOBYOXYYGYRBGRXWROBRRGGXBRYOWWGYXBBYOBGWRXGBOW;;;
YOORXWGWWOBYOXYYGYRBGRXYRGRRRGGXBWGOWWGYXBBYOBWBRXOBOW;;;
YOORXWGWWOBYRXYBOYRBGRXYRGRRRGGXBWGOWWGYXGBOYBWBYXOOBW;;;
